epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.39077,1.04856,3.15256,1.26631,0.00625,0.82467,0.25413,0.17227,1.17581,3.31033,1.2822,0.00034441,0.00034441,0.00034441
2,15.3607,1.20465,2.36915,1.37018,0.38316,0.20386,0.2464,0.1653,1.26385,2.88031,1.39878,0.000696465,0.000696465,0.000696465
3,21.1169,1.2294,2.03715,1.36881,0.20233,0.21486,0.15465,0.07632,1.62969,3.13075,2.00424,0.001045,0.001045,0.001045
4,26.9022,1.23302,2.00083,1.36815,0.25942,0.36804,0.22986,0.13279,1.4863,2.67919,1.66441,0.0010945,0.0010945,0.0010945
5,32.6097,1.24735,1.90414,1.37695,0.51939,0.2535,0.23758,0.15758,1.62062,3.44107,1.89656,0.001089,0.001089,0.001089
6,38.3652,1.24091,1.83071,1.37328,0.43352,0.34342,0.34188,0.22252,1.44355,2.13286,1.59238,0.0010835,0.0010835,0.0010835
7,44.1633,1.20154,1.71884,1.33238,0.45612,0.23384,0.22997,0.14134,1.50279,2.76958,1.7487,0.001078,0.001078,0.001078
8,49.8506,1.18102,1.67241,1.32395,0.21071,0.26778,0.16012,0.09369,1.33556,2.8137,1.4804,0.0010725,0.0010725,0.0010725
9,55.5579,1.17333,1.63986,1.33551,0.43024,0.33686,0.37686,0.24421,1.38778,2.02021,1.49582,0.001067,0.001067,0.001067
10,61.3849,1.17066,1.6266,1.31837,0.61262,0.40285,0.4415,0.29787,1.33567,1.87311,1.41811,0.0010615,0.0010615,0.0010615
11,67.135,1.1354,1.52155,1.30372,0.55435,0.35391,0.3857,0.26187,1.37831,2.0829,1.518,0.00105601,0.00105601,0.00105601
12,72.9145,1.11658,1.50414,1.29018,0.51607,0.54911,0.48306,0.32834,1.25504,1.94862,1.37589,0.00105051,0.00105051,0.00105051
13,78.6854,1.11329,1.47408,1.28001,0.5787,0.51153,0.53873,0.35211,1.27885,1.7044,1.37406,0.00104501,0.00104501,0.00104501
14,84.5625,1.08223,1.42849,1.26291,0.63278,0.46171,0.536,0.37534,1.25122,1.67642,1.36896,0.00103951,0.00103951,0.00103951
15,90.3806,1.09666,1.415,1.27668,0.39172,0.46208,0.41717,0.28873,1.29658,1.88982,1.42829,0.00103401,0.00103401,0.00103401
16,96.1119,1.08091,1.36128,1.26265,0.56178,0.41183,0.42442,0.30838,1.28153,1.81507,1.40191,0.00102851,0.00102851,0.00102851
17,101.907,1.05696,1.31926,1.2465,0.46852,0.5328,0.51126,0.35532,1.25119,1.86647,1.36704,0.00102301,0.00102301,0.00102301
18,107.647,1.06229,1.31235,1.2385,0.73355,0.52627,0.61704,0.44169,1.13306,1.53178,1.2846,0.00101751,0.00101751,0.00101751
19,113.416,1.0289,1.30368,1.2312,0.67756,0.50896,0.55985,0.39216,1.18956,1.60613,1.3121,0.00101201,0.00101201,0.00101201
20,119.143,1.0389,1.2934,1.23742,0.61746,0.5512,0.60069,0.43671,1.21896,1.49209,1.31753,0.00100651,0.00100651,0.00100651
21,124.799,1.05665,1.25327,1.23246,0.76705,0.49805,0.62731,0.45058,1.18912,1.49442,1.3174,0.00100101,0.00100101,0.00100101
22,130.607,1.01824,1.21265,1.23058,0.57746,0.5517,0.56687,0.42292,1.11642,1.51976,1.26404,0.000995512,0.000995512,0.000995512
23,136.277,0.9935,1.18112,1.20713,0.68244,0.51448,0.60511,0.43824,1.10804,1.47896,1.26328,0.000990012,0.000990012,0.000990012
24,141.96,0.99575,1.1579,1.1935,0.6063,0.52986,0.57672,0.42567,1.13564,1.48899,1.26169,0.000984513,0.000984513,0.000984513
25,147.709,1.00241,1.14425,1.19393,0.73384,0.53112,0.60033,0.44548,1.14208,1.38205,1.28358,0.000979013,0.000979013,0.000979013
26,153.48,1.01923,1.14105,1.2122,0.60378,0.62466,0.63508,0.4467,1.13541,1.39196,1.26449,0.000973514,0.000973514,0.000973514
27,159.206,0.99265,1.12775,1.19845,0.66402,0.55617,0.64298,0.46724,1.161,1.36191,1.31955,0.000968014,0.000968014,0.000968014
28,164.969,0.99303,1.13436,1.20216,0.72481,0.52373,0.58468,0.4233,1.18814,1.62248,1.3071,0.000962515,0.000962515,0.000962515
29,170.777,0.97621,1.10602,1.18969,0.73693,0.59946,0.68554,0.49979,1.10037,1.22687,1.2191,0.000957015,0.000957015,0.000957015
30,176.514,0.95398,1.06714,1.17992,0.7248,0.60003,0.69011,0.49717,1.13128,1.16627,1.27559,0.000951516,0.000951516,0.000951516
31,182.168,0.96542,1.08002,1.19273,0.71822,0.5725,0.65064,0.47659,1.13311,1.27151,1.26526,0.000946016,0.000946016,0.000946016
32,187.906,0.94502,1.07662,1.16758,0.61022,0.62037,0.65514,0.4893,1.08195,1.35907,1.21393,0.000940517,0.000940517,0.000940517
33,193.624,0.9565,1.04574,1.17889,0.7137,0.56704,0.66907,0.4869,1.10886,1.3282,1.26093,0.000935018,0.000935018,0.000935018
34,199.461,0.95637,1.0612,1.18056,0.74113,0.44512,0.56159,0.42116,1.07876,1.56902,1.24686,0.000929518,0.000929518,0.000929518
35,205.278,0.94612,1.02468,1.17007,0.85737,0.58173,0.74254,0.55824,1.04544,1.11081,1.21844,0.000924019,0.000924019,0.000924019
36,210.984,0.91539,1.01625,1.15556,0.85887,0.64713,0.77321,0.58145,1.02958,0.98531,1.18819,0.000918519,0.000918519,0.000918519
37,216.803,0.92686,1.00098,1.15713,0.69311,0.65625,0.70123,0.51531,1.04745,1.147,1.20263,0.00091302,0.00091302,0.00091302
38,222.564,0.95,1.01896,1.18121,0.75483,0.61069,0.70999,0.53073,1.08767,1.13644,1.22862,0.00090752,0.00090752,0.00090752
39,228.279,0.91193,0.95179,1.14567,0.72465,0.63283,0.69459,0.49491,1.088,1.25905,1.25136,0.000902021,0.000902021,0.000902021
40,233.941,0.90327,0.93651,1.13562,0.77581,0.63947,0.73387,0.55431,0.99971,1.08729,1.17662,0.000896521,0.000896521,0.000896521
41,239.617,0.88678,0.94558,1.13969,0.7484,0.65626,0.71902,0.52185,1.06569,1.13943,1.23047,0.000891022,0.000891022,0.000891022
42,245.343,0.90268,0.94918,1.13599,0.76923,0.63207,0.71011,0.52086,1.09085,1.10864,1.2511,0.000885523,0.000885523,0.000885523
43,251.006,0.89778,0.94178,1.14264,0.72496,0.66877,0.73589,0.56629,1.03213,1.04784,1.19615,0.000880023,0.000880023,0.000880023
44,256.623,0.89154,0.90353,1.13069,0.79894,0.60887,0.70428,0.53344,1.03743,1.17221,1.20807,0.000874524,0.000874524,0.000874524
45,262.284,0.88678,0.91068,1.13301,0.76391,0.66432,0.73975,0.56104,0.97718,1.03071,1.17633,0.000869024,0.000869024,0.000869024
46,267.915,0.88233,0.89504,1.13287,0.80449,0.6956,0.7576,0.56069,1.02517,1.04795,1.20702,0.000863525,0.000863525,0.000863525
47,273.535,0.86456,0.88906,1.12741,0.75539,0.67778,0.75612,0.56782,1.01078,1.04704,1.1845,0.000858025,0.000858025,0.000858025
48,279.194,0.85186,0.88551,1.11717,0.80084,0.65074,0.7363,0.5451,0.99924,1.06591,1.15581,0.000852526,0.000852526,0.000852526
49,284.851,0.84245,0.88129,1.11958,0.80082,0.68741,0.74887,0.56192,1.02684,0.99115,1.18712,0.000847026,0.000847026,0.000847026
50,290.529,0.87203,0.8733,1.12889,0.70498,0.6326,0.70535,0.51334,1.05631,1.09724,1.21069,0.000841527,0.000841527,0.000841527
51,296.243,0.8612,0.89798,1.13198,0.76192,0.62812,0.6964,0.52351,0.99307,1.17662,1.17003,0.000836027,0.000836027,0.000836027
52,301.963,0.84389,0.84857,1.10908,0.71562,0.70007,0.73786,0.5648,1.0173,1.08086,1.17691,0.000830528,0.000830528,0.000830528
53,307.798,0.85651,0.84588,1.11917,0.77925,0.7316,0.79451,0.60471,0.99024,0.90723,1.15205,0.000825029,0.000825029,0.000825029
54,313.551,0.85775,0.88297,1.12695,0.88329,0.59588,0.74214,0.56777,0.9901,1.01145,1.17596,0.000819529,0.000819529,0.000819529
55,319.235,0.85466,0.86892,1.12253,0.80542,0.70325,0.77437,0.59279,0.96704,0.93225,1.16007,0.00081403,0.00081403,0.00081403
56,324.92,0.82879,0.82912,1.09943,0.79198,0.67374,0.75407,0.56963,1.02248,1.04091,1.18632,0.00080853,0.00080853,0.00080853
57,330.735,0.84689,0.84226,1.12048,0.84732,0.69617,0.79126,0.61686,0.97497,0.92714,1.15459,0.000803031,0.000803031,0.000803031
58,336.495,0.81219,0.81154,1.10725,0.80902,0.65247,0.75416,0.58532,0.97273,0.93226,1.15494,0.000797531,0.000797531,0.000797531
59,342.157,0.83911,0.8245,1.10264,0.79038,0.66364,0.76488,0.58564,0.97363,0.99346,1.14961,0.000792032,0.000792032,0.000792032
60,347.836,0.82391,0.8043,1.10082,0.79703,0.72934,0.80154,0.5955,0.98079,0.88748,1.15009,0.000786532,0.000786532,0.000786532
61,353.548,0.8298,0.82756,1.0994,0.85468,0.70787,0.82115,0.62273,0.95684,0.82233,1.15262,0.000781033,0.000781033,0.000781033
62,359.33,0.80828,0.78629,1.09914,0.82475,0.68942,0.79476,0.61649,0.93686,0.8861,1.12478,0.000775534,0.000775534,0.000775534
63,364.989,0.81627,0.78171,1.0895,0.7846,0.74213,0.78376,0.61945,0.92246,0.88124,1.11982,0.000770034,0.000770034,0.000770034
64,370.843,0.81097,0.79226,1.10632,0.84496,0.71807,0.81385,0.6139,0.94173,0.86168,1.11974,0.000764535,0.000764535,0.000764535
65,376.691,0.81705,0.78398,1.08687,0.79858,0.71485,0.79672,0.6085,0.93012,0.91088,1.13159,0.000759035,0.000759035,0.000759035
66,382.403,0.80644,0.79111,1.09084,0.84484,0.7427,0.82344,0.64917,0.91644,0.80265,1.10238,0.000753536,0.000753536,0.000753536
67,388.105,0.7989,0.78132,1.08992,0.90238,0.69786,0.80859,0.6486,0.91849,0.83888,1.09613,0.000748036,0.000748036,0.000748036
68,393.757,0.78042,0.73656,1.0784,0.82928,0.71419,0.81058,0.63668,0.94624,0.85594,1.14397,0.000742537,0.000742537,0.000742537
69,399.572,0.78054,0.75818,1.07994,0.8171,0.73058,0.79935,0.61015,0.91643,0.89977,1.13339,0.000737037,0.000737037,0.000737037
70,405.357,0.77834,0.75256,1.06817,0.87981,0.72141,0.8031,0.62769,0.87377,0.83792,1.08757,0.000731538,0.000731538,0.000731538
71,411.093,0.79111,0.73049,1.07835,0.85083,0.79752,0.84976,0.6699,0.94209,0.76845,1.12415,0.000726038,0.000726038,0.000726038
72,416.797,0.76912,0.72438,1.07442,0.81886,0.76233,0.82014,0.6541,0.92183,0.81667,1.10047,0.000720539,0.000720539,0.000720539
73,422.458,0.77118,0.72398,1.06976,0.81844,0.75414,0.82194,0.62976,0.91163,0.87619,1.10286,0.00071504,0.00071504,0.00071504
74,428.1,0.75406,0.72116,1.06954,0.79395,0.78731,0.83445,0.66376,0.89107,0.7572,1.07513,0.00070954,0.00070954,0.00070954
75,433.742,0.78716,0.73238,1.07867,0.8713,0.75845,0.81703,0.66064,0.88855,0.83322,1.09043,0.000704041,0.000704041,0.000704041
76,439.543,0.7663,0.71989,1.07758,0.82573,0.74456,0.79805,0.65068,0.89014,0.82217,1.08791,0.000698541,0.000698541,0.000698541
77,445.351,0.75658,0.69935,1.06527,0.87324,0.75155,0.83855,0.66152,0.88353,0.7954,1.07826,0.000693042,0.000693042,0.000693042
78,451.092,0.76503,0.71426,1.06997,0.84068,0.71204,0.8055,0.63492,0.87043,0.88589,1.06474,0.000687542,0.000687542,0.000687542
79,456.902,0.76373,0.70295,1.06833,0.81357,0.74499,0.81997,0.6521,0.88251,0.81624,1.08803,0.000682043,0.000682043,0.000682043
80,462.643,0.763,0.7208,1.07052,0.84368,0.77619,0.82522,0.64392,0.9172,0.82769,1.09575,0.000676543,0.000676543,0.000676543
81,468.238,0.74456,0.68679,1.05201,0.85298,0.80281,0.85845,0.67949,0.87179,0.7426,1.06811,0.000671044,0.000671044,0.000671044
82,473.89,0.75418,0.68675,1.06047,0.86781,0.73698,0.82455,0.65218,0.87476,0.90475,1.06398,0.000665545,0.000665545,0.000665545
83,479.49,0.75314,0.68743,1.05921,0.83131,0.78021,0.84673,0.67009,0.88121,0.73429,1.08476,0.000660045,0.000660045,0.000660045
84,485.202,0.74798,0.67033,1.0544,0.84968,0.7536,0.83383,0.6637,0.87167,0.76772,1.07451,0.000654546,0.000654546,0.000654546
85,490.803,0.74995,0.67955,1.05567,0.87941,0.80351,0.86773,0.67814,0.8851,0.76257,1.06866,0.000649046,0.000649046,0.000649046
86,496.598,0.73512,0.66594,1.04922,0.91111,0.7725,0.85998,0.70026,0.84462,0.70909,1.05822,0.000643547,0.000643547,0.000643547
87,502.523,0.73373,0.67494,1.04772,0.87231,0.79763,0.85685,0.70238,0.81735,0.68402,1.03822,0.000638047,0.000638047,0.000638047
88,508.262,0.75615,0.67605,1.06376,0.86435,0.78738,0.84968,0.67938,0.83989,0.8036,1.0519,0.000632548,0.000632548,0.000632548
89,513.937,0.71083,0.63438,1.04755,0.89296,0.78786,0.85266,0.68469,0.85951,0.738,1.07439,0.000627048,0.000627048,0.000627048
90,519.599,0.72953,0.6484,1.04041,0.83185,0.79303,0.847,0.69254,0.8303,0.71332,1.03701,0.000621549,0.000621549,0.000621549
91,525.239,0.70336,0.64759,1.03834,0.82212,0.80462,0.84519,0.68246,0.85003,0.76522,1.06526,0.000616049,0.000616049,0.000616049
92,530.943,0.6914,0.63779,1.03637,0.91478,0.75738,0.85828,0.70292,0.80923,0.69985,1.03053,0.00061055,0.00061055,0.00061055
93,536.621,0.71143,0.64067,1.0419,0.93504,0.79474,0.8768,0.71534,0.83846,0.66308,1.03496,0.000605051,0.000605051,0.000605051
94,542.26,0.72321,0.63939,1.03602,0.91407,0.81939,0.87811,0.71939,0.80291,0.69096,1.04576,0.000599551,0.000599551,0.000599551
95,547.907,0.6953,0.63512,1.03578,0.90783,0.80938,0.86014,0.71264,0.79087,0.68001,1.02111,0.000594052,0.000594052,0.000594052
96,553.575,0.69026,0.62933,1.03767,0.88257,0.77767,0.84955,0.68825,0.81717,0.76982,1.0262,0.000588552,0.000588552,0.000588552
97,559.2,0.70961,0.62725,1.04046,0.89132,0.7647,0.85713,0.70948,0.79871,0.76508,1.02303,0.000583053,0.000583053,0.000583053
98,564.98,0.71233,0.63009,1.03555,0.90937,0.80289,0.85307,0.6887,0.81507,0.72501,1.03577,0.000577553,0.000577553,0.000577553
99,570.819,0.68782,0.61988,1.02186,0.84564,0.78113,0.84602,0.696,0.81774,0.75572,1.03019,0.000572054,0.000572054,0.000572054
100,576.535,0.69834,0.6089,1.02694,0.93435,0.80733,0.88499,0.72744,0.79979,0.66844,1.03059,0.000566554,0.000566554,0.000566554
101,582.315,0.70021,0.60298,1.03271,0.87966,0.81859,0.86091,0.71599,0.79096,0.67187,1.03736,0.000561055,0.000561055,0.000561055
102,588.249,0.6981,0.62287,1.04028,0.87874,0.81219,0.86345,0.73156,0.76303,0.69422,1.01556,0.000555556,0.000555556,0.000555556
103,593.932,0.68348,0.61124,1.02729,0.90843,0.7837,0.8705,0.71083,0.79051,0.68645,1.0103,0.000550056,0.000550056,0.000550056
104,599.63,0.68048,0.61596,1.02564,0.84079,0.80052,0.84964,0.71495,0.7653,0.70319,1.00728,0.000544557,0.000544557,0.000544557
105,605.354,0.68219,0.60002,1.03091,0.88681,0.80218,0.85704,0.70722,0.79911,0.71021,1.02692,0.000539057,0.000539057,0.000539057
106,610.997,0.68515,0.61421,1.02809,0.89741,0.78465,0.85099,0.70608,0.80303,0.70949,1.012,0.000533558,0.000533558,0.000533558
107,616.903,0.66046,0.58506,1.012,0.89463,0.8059,0.86475,0.7237,0.79272,0.71014,1.02261,0.000528058,0.000528058,0.000528058
108,622.551,0.65881,0.57615,1.01231,0.94108,0.78859,0.87155,0.72707,0.79807,0.66086,1.01237,0.000522559,0.000522559,0.000522559
109,628.239,0.69179,0.58999,1.02812,0.93469,0.84382,0.88468,0.72971,0.82692,0.66131,1.04142,0.000517059,0.000517059,0.000517059
110,633.932,0.67867,0.60088,1.02628,0.92206,0.82634,0.87406,0.73308,0.78073,0.70382,1.01591,0.00051156,0.00051156,0.00051156
111,639.692,0.66129,0.56864,1.01465,0.86034,0.82675,0.87184,0.72597,0.80225,0.69346,1.04076,0.00050606,0.00050606,0.00050606
112,645.449,0.67208,0.58741,1.01638,0.86661,0.81986,0.86982,0.72884,0.74806,0.678,0.99274,0.000500561,0.000500561,0.000500561
113,651.089,0.66597,0.57856,1.01707,0.8824,0.85609,0.88056,0.74263,0.74268,0.64827,0.98539,0.000495062,0.000495062,0.000495062
114,656.877,0.65729,0.56435,1.01338,0.9113,0.84552,0.88517,0.74314,0.75292,0.63066,0.99581,0.000489562,0.000489562,0.000489562
115,662.635,0.65224,0.57509,1.01231,0.90434,0.80108,0.87674,0.74513,0.76693,0.64951,1.0097,0.000484063,0.000484063,0.000484063
116,668.355,0.65375,0.57679,1.01496,0.92922,0.81531,0.87075,0.73178,0.78588,0.71222,1.0171,0.000478563,0.000478563,0.000478563
117,674.069,0.64558,0.55671,1.00765,0.91932,0.84006,0.87405,0.73586,0.76081,0.69842,1.01356,0.000473064,0.000473064,0.000473064
118,679.696,0.65008,0.5668,1.00821,0.89029,0.8426,0.86848,0.72151,0.77215,0.66733,1.00828,0.000467564,0.000467564,0.000467564
119,685.538,0.64023,0.56005,1.00789,0.92502,0.8077,0.88054,0.7443,0.74627,0.64253,0.99879,0.000462065,0.000462065,0.000462065
120,691.353,0.655,0.55562,0.99929,0.91926,0.82814,0.87817,0.73742,0.76139,0.66605,1.01583,0.000456565,0.000456565,0.000456565
121,697.079,0.63399,0.54135,1.00293,0.92298,0.84174,0.87944,0.74411,0.74073,0.64724,0.99158,0.000451066,0.000451066,0.000451066
122,702.79,0.62818,0.53665,0.99779,0.93282,0.80786,0.87621,0.75064,0.72591,0.65599,0.97328,0.000445567,0.000445567,0.000445567
123,708.504,0.61235,0.53319,0.9906,0.89037,0.82533,0.86023,0.73501,0.76432,0.68438,1.01253,0.000440067,0.000440067,0.000440067
124,714.251,0.63324,0.55093,1.00041,0.90881,0.81782,0.86707,0.74626,0.72571,0.67155,0.9853,0.000434568,0.000434568,0.000434568
125,719.965,0.64026,0.55503,1.0081,0.92379,0.82196,0.87155,0.74162,0.74365,0.65593,0.98487,0.000429068,0.000429068,0.000429068
